año,posición,título,artista,fecha_pico,género
2014,10,"""Roar"" ‡",Katy Perry,N/A,"Electronic, Pop"
2014,11,"""Counting Stars"" ‡",OneRepublic,N/A,Rock
2014,12,"""The Monster"" ‡",Eminem featuring Rihanna,N/A,N/A
2014,10,"""Story of My Life"" ‡",One Direction,N/A,"Rock, Pop"
2014,6,"""Animals"" ‡",Martin Garrix,N/A,Electronic
2014,7,"""Somewhere Only We Know"" ‡",Lily Allen,N/A,"Electronic, Pop"
2014,10,"""How Long Will I Love You?"" ‡",Ellie Goulding,N/A,"Pop, Stage & Screen"
2014,10,"""Hey Brother"" ‡",Avicii,N/A,"Electronic, Pop"
2014,20,"""Happy"" (#1)",Pharrell Williams,N/A,Funk / Soul
2014,8,Trumpets,Jason Derulo,N/A,"Hip Hop, Pop"
